Event ID,Longitude (°),Latitude (°),MW,Depth (km),Strike (°),Dip (°),Rake (°),NSe
2398629,168.9747,-43.9412,5.5,13,51,58,144,10
2626467,169.0377,-43.9512,5,14,62,82,167,8
2922302,177.0947,-37.5828,5.2,10,244,58,-39,4
3125077,166.1608,-46.1981,5.6,2,198,89,90,4
3125691,166.5345,-45.4286,5.2,8,41,68,174,5
3133965,166.326,-45.1806,5.1,8,53,42,138,4
3367749,171.8914,-43.5885,5,6,232,51,84,23
3468575,172.6909,-43.566,6.2,4,55,66,129,58
3468581,172.6605,-43.5892,5.5,4,67,84,164,35
3468635,172.6336,-43.5904,5.6,4,247,81,-158,48
3497857,172.7886,-43.6134,5,4,174,75,1,40
3525264,172.4125,-43.6051,5.1,4,259,83,-153,54
3528810,172.7531,-43.5684,5.3,5,142,65,-2,48
3528839,172.7431,-43.5638,6,4,161,67,6,65
3533107,172.5249,-43.5988,5.2,6,270,80,-171,53
3612525,179.9625,-37.4289,5.4,10,224,28,-78,3
3631359,172.7957,-43.4862,5.8,2,45,63,105,71
3631363,172.8406,-43.4729,5.4,4,41,43,103,55
3631380,172.7428,-43.53,5.9,5,57,51,123,78
3713255,172.8291,-43.5239,5,2,59,61,125,41
2012p001887,172.8085,-43.4672,5.1,8,64,58,131,21
2012p392201,172.7723,-43.534,5,6,52,43,98,48
2012p546497,-179.8257,-37.8074,5.9,16,205,53,-129,7
2013p542711,174.4046,-41.5564,5.8,17,212,56,122,98
2013p544960,174.2992,-41.4503,5,10,263,84,-163,55
2013p545809,174.2553,-41.6019,5,12,62,75,173,50
2013p613824,174.1168,-41.7638,5.5,5,54,68,164,54
2013p613867,174.0495,-41.742,5.9,7,59,77,175,73
2013p613947,174.1742,-41.6952,5.2,16,45,67,-166,69
2013p614135,174.2623,-41.6688,5.9,18,242,75,162,95
2013p614294,174.2889,-41.6771,5.4,14,54,78,179,70
2013p617227,174.0486,-41.7699,5.2,13,225,77,-178,74
2014p240655,176.5519,-39.9703,5.2,20,201,41,99,51
2014p933337,165.9932,-47.083,5,19,8,32,147,3
2015p012816,171.252,-43.0579,5.6,9,84,84,-156,87
2015p127696,-179.9163,-37.683,5.2,15,236,44,-62,8
2015p144416,177.2674,-36.5148,5.1,5,42,34,-88,5
2015p150850,177.2751,-36.5833,5.3,6,53,31,-80,7
2015p332712,168.8369,-44.5366,5.6,9,354,73,9,37
2016p118944,172.7546,-43.4973,5.8,4,56,69,152,120
2016p661400,179.2123,-36.9059,6,13,15,85,90,18
2016p761676,178.8942,-37.0775,5.8,10,20,87,84,22
2016p858094,173.4363,-42.1389,6.1,8,81,89,171,127
2016p858260,174.2562,-41.8538,5.6,7,213,70,146,119
2016p858279,173.6596,-42.2606,6,6,250,89,-169,114
2016p858508,174.2409,-41.7712,5.1,11,218,84,-179,94
2016p858951,173.7345,-42.298,5.7,6,74,63,166,43
2016p859270,173.2141,-42.3912,5.1,11,66,81,171,116
2016p859628,173.7613,-42.367,5.1,10,56,75,114,91
2016p860567,173.792,-42.4273,5.1,5,188,77,9,111
2016p871889,173.4158,-42.6762,5.3,2,34,72,87,101
2016p881669,172.9936,-42.8777,5.5,4,256,85,-158,67
2016p913880,174.1801,-41.6823,5.3,18,232,82,167,134
2016p981371,174.4562,-41.5456,5.3,15,43,88,-162,118
2017p012082,173.9854,-41.8535,5.3,11,254,51,-155,131
2017p095675,166.1646,-45.4111,5.1,8,360,38,86,7
2017p795065,173.4589,-42.3581,5,11,248,58,163,136
2017p879247,177.3813,-36.3793,5.3,5,48,76,-151,8
2018p829286,-179.6807,-39.2687,5.1,7,176,58,12,4
2019p315560,179.0881,-37.0329,5,11,193,80,-88,13
2019p603895,167.8082,-44.4823,5.4,15,6,36,77,33
2019p665658,175.906,-38.8513,5.1,9,209,44,-116,29
2020p198433,178.8418,-36.6734,5.8,24,167,66,-19,24
2020p650426,177.098,-36.7675,5.5,6,69,62,2,18
2020p880407,165.6771,-47.4627,5,17,206,88,159,3
2021p064325,176.4939,-38.0862,5.1,6,4,41,-121,20
2021p193233,179.7447,-37.8155,5.3,8,80,44,-54,17
2022p901216,175.9419,-38.8455,5.7,4,255,85,-86,51
2023p204478,176.6899,-38.0619,5,3,225,47,-113,18
2023p204951,176.7024,-38.054,5,3,236,55,-98,14
2023p310616,176.6198,-40.2825,5.8,15,201,26,84,94
2023p707798,171.0706,-43.698,5.6,13,167,70,36,105
2024p945089,165.8303,-47.1752,5.1,12,191,59,178,4
