stat_id,stat_name
1,DSZ
2,AMBC
3,WVAS
4,CSHS
5,PPHS
6,GLWS
7,SLRC
8,CECS
9,WCSS
10,IFPS
11,DFHS
12,WAKC
13,SPRS
14,WVZ
15,HSES
16,INZ
17,MAYC
18,APPS
19,SCAC
20,LTZ
21,LBZ
22,DSLC
23,STKS
24,CACS
25,KHZ
26,NBLC
27,REHS
28,MTPS
29,OXZ
30,GODS
31,SWNC
32,MTHS
33,CHHC
34,RHSC
35,LPCC
36,HPSC
37,NNBS
38,CBGS
39,LPOC
40,PARS
41,CMHS
42,MPSS
43,SHLC
44,HHSS
45,TPLC
46,HVSC
47,HUNS
48,EYRS
49,CCCC
50,DALS
51,AKSS
52,KPOC
53,SUMS
54,ASHS
55,MQZ
56,CSTC
57,GHHS
58,MXZ
59,RTZ
60,KNZ
61,MWZ
62,GKBS
63,HAZ
64,PGMS
65,OTKS
66,WNAS
67,PFAS
68,PVCS
69,SEAS
70,EBPS
71,KIKS
72,POKS
73,GVZ
74,PTOS
75,GOVS
76,NCBS
77,LHRS
78,TEPS
79,PNRS
80,NBSS
81,FTPS
82,POLS
83,QRZ
84,PIPS
85,FXBS
86,SEVS
87,FAIS
88,QCCS
89,NEWS
90,RCBS
91,NELS
92,INHS
93,KIRS
94,WEMS
95,MKVS
96,SOMS
97,MGCS
98,MENS
99,VUWS
100,LIRS
101,CPLB
102,CUBS
103,UHCS
104,MKBS
105,THOB
106,UHSS
107,BFZ
108,MOLS
109,LRSS
110,BMTS
111,TSFS
112,PRKS
113,FKPS
114,MNZS
115,WDFS
116,NWFS
117,ARKS
118,BWRS
119,WEL
120,TAIS
121,NLMS
122,WAZ
123,OPWS
124,TSZ
125,DHSS
126,DUWZ
127,RHBS
128,KEKS
129,WANS
130,TMDS
131,OPSS
132,PWES
133,LHBS
134,HIBS
135,HALS
136,LHUS
137,MISS
138,SMHS
139,WVFS
140,TFSS
141,TRTS
142,LHES
143,WNHS
144,WNKS
145,TOTS
146,TCW
147,MAVS
148,MRZ
149,NNZ
150,KHLS
151,SOCS
152,RCS1
153,SJFS
154,PAPS
155,PNMS
156,HMCS
157,THZ
158,POTS
159,LNBS
160,KARS
161,BKZ
162,WAKS
163,BOWS
164,VRZ
165,EKTS
166,PGFS
167,PNBS
168,PHHS
169,WPWS
170,THHS
171,FAHS
172,MNGS
173,DVHS
174,WDPS
175,MTHZ
176,HIZ
177,NCDS
178,KFHS
179,WHZ
180,RRKS
181,PYZ
182,WHFS
183,ARPS
184,STAS
185,SACS
186,WIGC
187,WBCS
188,PRPC
189,SEDS
190,WSFC
191,NSBS
192,KLDS
193,WKZ
194,FJDS
195,WHAS
196,MCAS
197,KOKS
198,EAZ
199,HAFS
200,INGS
201,OHSS
202,GMFS
203,HAVS
204,FDCS
205,ODZ
206,MORS
207,WNPS
208,GDLC
209,FOZ
210,FGPS
211,CULC
212,KOWC
213,LSRC
214,CVZ
215,MCNS
216,HDWS
217,TDHS
218,TBAS
219,GWTS
220,PUZ
221,KUZ
222,WKHS
223,URZ
224,GRZ
225,DUNS
226,MLZ
227,DGNS
228,SYZ
229,SKFS
230,OAMS
231,MOSS
232,MSMC
233,DKHS
234,TMBS
235,MATS
236,ADCS
237,MECS
238,LINC
239,RPZ
240,ROLC
241,DORC
242,LCQC
243,MOTS
244,TWAS
245,RDCS
246,TOKS
247,MWFS
248,OPCS
249,ROTS
250,TBCS
251,GISS
252,WFSS
253,KAFS
254,PKGZ
255,ECLS
256,WMGZ
257,SHFC
258,HWHS
259,HORC
260,WDAS
261,TRMS
262,HSSS
263,HOCS
264,BTWS
265,SBRC
266,RKAC
267,WTMC
268,PEEC
269,ORCS
270,DAVS
271,CPFS
272,WRCS
273,HUKS
274,MWDS
275,WBFS
276,SMTC
277,CRSZ
278,SDNS
279,BSWZ
280,WCDS
281,TUWZ
282,AWRB
283,WCFS
284,WTYS
285,CMWZ
286,WTES
287,QTPS
288,ORPS
289,JCZ
290,MSZ
291,TUHS
292,TOZ
293,TIRS
294,TPPS
295,WAIS
296,TKHS
297,TMHS
298,CRLZ
299,SPFS
300,TRCS
