,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
PGA,0.1182429054105465,0.06782806853196136,0.5188193827847485,0.435458870368924,0.44820526672176164,0.8122105274208481
PGV,0.07379606019512856,0.05696906558125886,0.4272865100879662,0.38910540844231417,0.42765451005999755,0.7189333491756175
CAV,0.40268583666979746,0.052549176581994615,0.3745611532346156,0.45217130946923345,0.31987611686206574,0.6686371817049366
AI,0.28233299860743616,0.11657126748753309,0.8645782880389483,0.877529817541371,0.7214687039229253,1.427610341641856
Ds575,0.46988903193541903,0.0389183933367479,0.29769346323273,0.2104690502773931,0.3822341518616938,0.5282249199210437
Ds595,0.6292944724350733,0.03233532030193825,0.24886236590200114,0.17922403235301135,0.28126769107999616,0.41613128334779986
Ds595_LF,0.8280001030167654,0.04527781291890172,0.33398511088880795,0.30173266823391637,0.44980171670159425,0.6363255783973085
pSA_0.010000000000,0.12131489332908524,0.06790219869328488,0.5192126327462026,0.4363540196501387,0.4500457677936577,0.8139580957132004
pSA_0.010722672000,0.12190329910173632,0.06791913715075099,0.5192891009244154,0.43665949145752997,0.45033153103657625,0.8143286619446617
pSA_0.011497570000,0.1212028159526978,0.06789469193938096,0.5191833553798266,0.4363121980683062,0.4495199715304854,0.8136263856902752
pSA_0.012328467000,0.12175179220667717,0.06790222310482182,0.5191848181475714,0.4365232977179479,0.4499107933322777,0.8139565017876315
pSA_0.013219411000,0.12237440637878569,0.0679231151734728,0.5193056886437637,0.436810322447272,0.45014617398739293,0.8143176493296407
pSA_0.014174742000,0.1229850205990382,0.06793066141345207,0.5193107283476538,0.43701444101064324,0.4505052081117845,0.814628870569082
pSA_0.015199111000,0.12373743790863381,0.06795672731883676,0.5194536671076044,0.43747476490773224,0.4505700225976615,0.8150028389314179
pSA_0.016297508000,0.12449517171737838,0.06796561872585995,0.5194770401511544,0.43776338020460165,0.45054397978612526,0.8151582975188827
pSA_0.017475284000,0.12516543681773837,0.06795506431757804,0.5193872496772323,0.43773456610855394,0.4504849314390645,0.815052966958088
pSA_0.018738174000,0.12594194606152126,0.06801388405498647,0.5199564535762565,0.4377922267935512,0.45006189713602984,0.8152131369832899
pSA_0.020000000000,0.1275250806176791,0.06805099939053312,0.520249397444868,0.4380160732477287,0.4502113714641074,0.8156027188286588
pSA_0.020092330000,0.12762960394404005,0.06805122699327577,0.520247368557898,0.43802974482998913,0.45023126466120306,0.8156197481214325
pSA_0.021544347000,0.12883457329640421,0.06804553918608246,0.5200869736594813,0.43853562870544344,0.4501935645368786,0.8157684741179799
pSA_0.023101297000,0.1304746337204032,0.0680963288030362,0.5203940003500768,0.4394245325087735,0.4498846017044818,0.8162720074960981
pSA_0.024770764000,0.13234721967098323,0.06811179583257851,0.520389669165813,0.4400491881675761,0.45013415929218453,0.8167432014673455
pSA_0.026560878000,0.13468087417331215,0.0681866405632357,0.5209793429457638,0.4403896296132917,0.4508396880007904,0.8176912167339099
pSA_0.028480359000,0.13637236047110182,0.06837854545019671,0.5226412961247405,0.4410593851948464,0.45093664598115446,0.8191649189095793
pSA_0.030538555000,0.13927959966146897,0.06853648784435053,0.524165694866874,0.44078257666406256,0.45136344272785484,0.8202243065143976
