,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
PGA,0.113501692,0.068428544,0.523211701,0.440573456,0.451040659,0.819324801
PGV,0.05947192,0.058905485,0.441666963,0.406601929,0.429088881,0.737910633
CAV,0.359375991,0.052686369,0.371276953,0.46762936,0.319840075,0.677363616
AI,0.263243647,0.117830788,0.872829746,0.892414435,0.724905649,1.44351082
Ds575,0.455606615,0.038476521,0.292160464,0.218198078,0.380625501,0.527109012
Ds595,0.589155501,0.033251884,0.253915334,0.193445542,0.292380674,0.432874847
pSA_0.010000000000,0.116598895,0.068501561,0.523613839,0.441470067,0.452558847,0.820899983
pSA_0.010722672000,0.117189136,0.068518321,0.523687394,0.441771921,0.45287512,0.821283624
pSA_0.011497570000,0.116478559,0.068495074,0.523592054,0.441413665,0.452118285,0.820612946
pSA_0.012328467000,0.117028534,0.068502184,0.523591357,0.441629608,0.452461384,0.820917733
pSA_0.013219411000,0.117647965,0.068523459,0.523716663,0.441918382,0.452676159,0.821271395
pSA_0.014174742000,0.118259365,0.068530991,0.523721834,0.442123243,0.453026822,0.821578251
pSA_0.015199111000,0.119012104,0.068557916,0.523870901,0.44257936,0.453135658,0.821978793
pSA_0.016297508000,0.11977569,0.068567579,0.523899521,0.442860555,0.453166436,0.822165432
pSA_0.017475284000,0.120442365,0.068559011,0.523827592,0.442828617,0.453132469,0.822083673
pSA_0.018738174000,0.121224574,0.068619405,0.524414216,0.442862538,0.452753964,0.822267383
pSA_0.020000000000,0.122800993,0.068659128,0.524735497,0.443075161,0.452882878,0.822657792
pSA_0.020092330000,0.122906468,0.06865959,0.52473604,0.44308697,0.452903363,0.822675775
pSA_0.021544347000,0.124131267,0.068659907,0.524637482,0.443569587,0.452859921,0.822849059
pSA_0.023101297000,0.12576371,0.06872125,0.52504522,0.444450029,0.452560186,0.823419111
pSA_0.024770764000,0.127635346,0.068747377,0.525132321,0.445118028,0.452804793,0.823969777
pSA_0.026560878000,0.129993616,0.068825017,0.525750613,0.445436785,0.453551379,0.824946356
pSA_0.028480359000,0.131663178,0.069007893,0.527343378,0.44602731,0.453668448,0.826345243
pSA_0.030538555000,0.134554157,0.069151741,0.528745317,0.445699966,0.454107625,0.827305146
pSA_0.032745492000,0.136829067,0.069292757,0.529680361,0.447503514,0.454229563,0.828942203
pSA_0.035111917000,0.138617894,0.069252336,0.529098207,0.448350863,0.454506022,0.829179795
pSA_0.037649358000,0.140505167,0.069143854,0.527529356,0.451006102,0.453961205,0.829321712
pSA_0.040370173000,0.140101101,0.06922341,0.527707404,0.453560606,0.454223671,0.830970198
pSA_0.043287613000,0.140273067,0.069258883,0.527388391,0.456420685,0.454645947,0.832563087
pSA_0.046415888000,0.12603838,0.069205075,0.527300651,0.454076614,0.456147908,0.832047151
pSA_0.049770236000,0.125743873,0.069424301,0.528939407,0.45591871,0.456678008,0.834382149
pSA_0.050000000000,0.125706172,0.069425404,0.528949174,0.455944622,0.456597758,0.83435858
pSA_0.053366992000,0.125646462,0.069482993,0.529022689,0.458062944,0.456690155,0.835615081
pSA_0.057223677000,0.125146707,0.069328555,0.526379197,0.463120903,0.45755518,0.837205334
pSA_0.061359073000,0.122159893,0.069256509,0.523658417,0.472010236,0.457946458,0.840670423
